family,short_name,description,source
RF03473,"Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 21,","Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 21, whole genome shotgun sequence",header
RF03480,RF03480,RF03480,fallback
RF03481,"Equus caballus isolate Twilight breed thoroughbred chromosome 8, whole genome sh","Equus caballus isolate Twilight breed thoroughbred chromosome 8, whole genome shotgun sequence",header
RF03483,RF03483,RF03483,fallback
RF03490,"Gallus gallus isolate bGalGal1 chromosome Z, whole genome shotgun sequence","Gallus gallus isolate bGalGal1 chromosome Z, whole genome shotgun sequence",header
RF03494,"Phocoena sinus isolate mPhoSin1 chromosome 16, whole genome shotgun sequence","Phocoena sinus isolate mPhoSin1 chromosome 16, whole genome shotgun sequence",header
RF03508,RF03508,RF03508,fallback
RF03510,"Piliocolobus tephrosceles isolate RC106 chromosome 4, whole genome shotgun seque","Piliocolobus tephrosceles isolate RC106 chromosome 4, whole genome shotgun sequence",header
RF03517,RF03517,RF03517,fallback
RF03525,RF03525,RF03525,fallback
RF03531,RF03531,RF03531,fallback
RF03561,Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Herefor,"Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 19, whole genome shotgun sequence",header
RF03567,"Solanum tuberosum unplaced genomic scaffold scf00502, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00502, whole genome shotgun sequence",header
RF03577,"Myotis davidii unplaced genomic scaffold scaffold97, whole genome shotgun sequen","Myotis davidii unplaced genomic scaffold scaffold97, whole genome shotgun sequence",header
RF03601,"Solanum tuberosum unplaced genomic scaffold scf00252, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00252, whole genome shotgun sequence",header
RF03608,"Nematostella vectensis NEMVEscaffold_1 genomic scaffold, whole genome shotgun se","Nematostella vectensis NEMVEscaffold_1 genomic scaffold, whole genome shotgun sequence",header
RF03613,"Sorghum bicolor cultivar BTx623 chromosome 9, whole genome shotgun sequence","Sorghum bicolor cultivar BTx623 chromosome 9, whole genome shotgun sequence",header
RF03620,RF03620,RF03620,fallback
RF03622,Oryzias latipes strain Hd-rR chromosome 7 sequence,Oryzias latipes strain Hd-rR chromosome 7 sequence,header
